authFullName_s,authIdHal_i,authIdHal_s,title_s,halId_s,producedDateY_i,doiId_s,keyword_s,abstract_s,uri_s,domain_s
"['Andrea Sartirana', 'Laurent Jourdren', 'Paulo Mora de Freitas', 'David Chamont', 'Philippe Busson', 'Stéphane Le Crom']","[950950, 185045, 950951, 1228770, 741166, 13760]","['laurent-jourdren', 'david-chamont', 'phbusson', 'stephane-le-crom']",Eoulsan : analyse du séquençage à haut débit dans le cloud et sur la grille,hal-00927507,2013,,,['Eoulsan : analyse du séquençage à haut débit dans le cloud et sur la grille'],https://hal.science/hal-00927507,"['0.info', '1.info.info-dc']"
"['Thomas Portnoy', 'Antoine Margeot', 'Verena Seidl-Seiboth', 'Stéphane Le Crom', 'Fadhel Ben Chaabane', 'Rita Linke', 'Bernhard Seiboth', 'Christian Kubicek']","[919327, 937936, 13760, 919328, 919335, 919336]",['stephane-le-crom'],"Differential regulation of the cellulase transcription factors XYR1, ACE2, and ACE1 in Trichoderma reesei strains producing high and low levels of cellulase",hal-02879336,2011,10.1128/EC.00208-10,,"['Due to its capacity to produce large amounts of cellulases, Trichoderma reesei is increasingly being investigated for second-generation biofuel production from lignocellulosic biomass. The induction mechanisms of T. reesei cellulases have been described recently, but the regulation of the genes involved in their transcription has not been studied thoroughly. Here we report the regulation of expression of the two activator genes xyr1 and ace2, and the corepressor gene ace1, during the induction of cellulase biosynthesis by the inducer lactose in T. reesei QM 9414, a strain producing low levels of cellulase (low producer). We show that all three genes are induced by lactose. xyr1 was also induced by d-galactose, but this induction was independent of d-galactose metabolism. Moreover, ace1 was carbon catabolite repressed, whereas full induction of xyr1 and ace2 in fact required CRE1. Significant differences in these regulatory patterns were observed in the high-producer strain RUT C30 and the hyperproducer strain T. reesei CL847. These observations suggest that a strongly elevated basal transcription level of xyr1 and reduced upregulation of ace1 by lactose may have been important for generating the hyperproducer strain and that thus, these genes are major control elements of cellulase production.']",https://hal.sorbonne-universite.fr/hal-02879336,"['0.sdv', '1.sdv.bbm', '2.sdv.bbm.gtp', '0.sdv', '1.sdv.bibs']"
"['Nathalie Lehmann', 'Sandrine Perrin', 'Claire Wallon', 'Xavier Bauquet', 'Vivien Deshaies', 'Cyril Firmo', 'Runxin Du', 'Charlotte Berthelier', 'Céline Hernandez', 'Cédric Michaud', 'Denis Thieffry', 'Stéphane Le Crom', 'Morgane Thomas-Chollier', 'Laurent Jourdren']","[1148850, 174545, 13760, 748529, 185045]","['charlotte-berthelier', 'celine-hernandez', 'stephane-le-crom', 'morgane-thomas-chollier', 'laurent-jourdren']","Eoulsan 2: an efficient workflow manager for reproducible bulk, long-read and single-cell transcriptomics analyses",hal-03784195,2021,10.1101/2021.10.13.464219,,"['A bstract Motivation Core sequencing facilities produce huge amounts of sequencing data that need to be analysed with automated workflows to ensure reproducibility and traceability. Eoulsan is a versatile open-source workflow engine meeting the needs of core facilities, by automating the analysis of a large number of samples. Its core design separates the description of the workflow from the actual commands to be run. This originality simplifies its usage as the user does not need to handle code, while ensuring reproducibility. Eoulsan was initially developed for bulk RNA-seq data, but the transcriptomics applications have recently widened with the advent of long-read sequencing and single-cell technologies, calling for the development of new workflows. Result We present Eoulsan 2, a major update that (i) enhances the workflow manager itself, (ii) facilitates the development of new modules, and (iii) expands its applications to long reads RNA-seq (Oxford Nanopore Technologies) and scRNA-seq (Smart-seq2 and 10x Genomics). The workflow manager has been rewritten, with support for execution on a larger choice of computational infrastructure (workstations, Hadoop clusters, and various job schedulers for cluster usage). Eoulsan now facilitates the development of new modules, by reusing wrappers developed for the Galaxy platform, with support for container images (Docker or Singularity) packaging tools to execute. Finally, Eoulsan natively integrates novel modules for bulk RNA-seq, as well as others specifically designed for processing long read RNA-seq and scRNA-seq. Eoulsan 2 is distributed with ready-to-use workflows and companion tutorials. Availability and implementation Eoulsan is implemented in Java, supported on Linux systems and distributed under the LGPL and CeCILL-C licenses at: http://outils.genomique.biologie.ens.fr/eoulsan/ . The source code and sample workflows are available on GitHub: https://github.com/GenomicParisCentre/eoulsan . A GitHub repository for modules using the Galaxy tool XML syntax is further provided at: https://github.com/GenomicParisCentre/eoulsan-tools Contact eoulsan@bio.ens.psl.eu']",https://hal.science/hal-03784195,"['0.sdv', '1.sdv.bibs']"
"['Fanny Coulpier', 'Stéphane Le Crom', 'Géraldine Maro', 'Jan Manent', 'Marco Giovannini', 'Zofia Maciorowski', 'Andreas Fischer', 'Manfred Gessler', 'Patrick Charnay', 'Piotr Topilko']",[13760],['stephane-le-crom'],Novel features of boundary cap cells revealed by the analysis of newly identified molecular markers.,hal-02879350,2009,10.1002/glia.20862,,"['Neural crest (NC) cells are a multipotent, highly migratory cell population that generates most of the components of the peripheral nervous system (PNS), including the glial Schwann cells (SC) and boundary cap (BC) cells. These latter cells are located at the interface between the central nervous system and PNS, at the exit/entry points of ventral motor/dorsal sensory axons and give rise to all SC in the nerve roots and to a subset of nociceptive neurons and satellite cells in the dorsal root ganglia. In the present study we have compared BC cells with two closely related cell types, NC and Schwann cell precursors (SCpr), by RNA profiling. This led to the definition of a set of 10 genes that show specific expression in BC cells and/or in their derivatives along the nerve roots. Analysis of the expression of these genes during mouse development revealed novel features, of those most important are: (i) dorsal and ventral nerve root BC cell derivatives express different sets of genes, suggesting that they have distinct properties; (ii) these cells undergo major modifications in their gene expression pattern between embryonic days 14.5 and 17.5, possibly linked to the SCpr-immature Schwann cell transition; (iii) nerve roots SC differ from more distal SC not only in their origins and locations, but also in their gene expression patterns. In conclusion, the identification of these novel makers opens the way for a detailed characterization of BC cells in both mouse and man.']",https://hal.sorbonne-universite.fr/hal-02879350,"['0.sdv', '1.sdv.bbm', '2.sdv.bbm.gtp', '0.sdv', '1.sdv.bibs']"
"['Sophie Lemoine', 'Florence Combes', 'Nicolas Servant', 'Stéphane Le Crom']","[908599, 918596, 13760]","['lemoine-sophie', 'stephane-le-crom']",Goulphar: rapid access and expertise for standard two-color microarray normalization methods.,inserm-00122139,2006,10.1186/1471-2105-7-467,,"['BACKGROUND: Raw data normalization is a critical step in microarray data analysis because it directly affects data interpretation. Most of the normalization methods currently used are included in the R/BioConductor packages but it is often difficult to identify the most appropriate method. Furthermore, the use of R commands for functions and graphics can introduce mistakes that are difficult to trace. We present here a script written in R that provides a flexible means of access to and monitoring of data normalization for two-color microarrays. This script combines the power of BioConductor and R analysis functions and reduces the amount of R programming required. RESULTS: Goulphar was developed in and runs using the R language and environment. It combines and extends functions found in BioConductor packages (limma and marray) to correct for dye biases and spatial artifacts. Goulphar provides a wide range of optional and customizable filters for excluding incorrect signals during the pre-processing step. It displays informative output plots, enabling the user to monitor the normalization process, and helps adapt the normalization method appropriately to the data. All these analyses and graphical outputs are presented in a single PDF report. CONCLUSION: Goulphar provides simple, rapid access to the power of the R/BioConductor statistical analysis packages, with precise control and visualization of the results obtained. Complete documentation, examples and online forms for setting script parameters are available from http://transcriptome.ens.fr/goulphar/.']",https://inserm.hal.science/inserm-00122139,"['0.sdv', '1.sdv.bibs']"
"['Stéphane Le Crom', 'Marika Kapsimali', 'Jean-Dider Vincent', 'Philippe Vernier']","[13760, 748114]","['stephane-le-crom', 'philippe-vernier']",Emotions cerveau et dopamine : les leçons de l'histoire.,hal-00122796,2000,,,,https://hal.science/hal-00122796,"['0.sdv', '1.sdv.neu']"
"['Marika Kapsimali', 'Stéphane Le Crom', 'Philippe Vernier']","[13760, 748114]","['stephane-le-crom', 'philippe-vernier']",A natural history of vertebrate dopamine receptors.,hal-00122816,2003,,,,https://hal.science/hal-00122816,"['0.sdv', '1.sdv.neu']"
"['Jawad Merhej', 'Amandine Frigo', 'Stéphane Le Crom', 'Jean-Michel Camadro', 'Frédéric Devaux', 'Gaëlle Lelandais']","[13760, 742644, 918862, 879919]","['stephane-le-crom', 'jean-michel-camadro', 'frederic-devaux']",bPeaks: a bioinformatics tool to detect transcription factor binding sites from ChIPseq data in yeasts and other organisms with small genomes,hal-01132624,2014,10.1002/yea.3031,"['Yeasts', 'Transcription factors', 'Regulatory motifs', 'Peak-calling', 'Bioinformatics', 'ChIPseq']",,https://hal.science/hal-01132624,"['0.sdv', '1.sdv.bbm', '0.sdv', '1.sdv.mp', '0.sdv', '1.sdv.mp', '2.sdv.mp.myc']"
"['Patrick Pla', 'Marie-Rose Hirsch', 'Stéphane Le Crom', 'Simone Reiprich', 'Vincent Harley', 'Christo Goridis']","[13760, 801647]",['stephane-le-crom'],Identification of Phox2b-regulated genes by expression profiling of cranial motoneuron precursors.,hal-02879353,2008,10.1186/1749-8104-3-14,,"['Branchiomotor neurons comprise an important class of cranial motor neurons that innervate the branchial-arch-derived muscles of the face, jaw and neck. They arise in the ventralmost progenitor domain of the rhombencephalon characterized by expression of the homeodomain transcription factors Nkx2.2 and Phox2b. Phox2b in particular plays a key role in the specification of branchiomotor neurons. In its absence, generic neuronal differentiation is defective in the progenitor domain and no branchiomotor neurons are produced. Conversely, ectopic expression of Phox2b in spinal regions of the neural tube promotes cell cycle exit and neuronal differentiation and, at the same time, induces genes and an axonal phenotype characteristic for branchiomotor neurons. How Phox2b exerts its pleiotropic functions, both as a proneural gene and a neuronal subtype determinant, has remained unknown.']",https://hal.sorbonne-universite.fr/hal-02879353,"['0.sdv', '1.sdv.bbm', '2.sdv.bbm.gtp', '0.sdv', '1.sdv.bibs']"
"['Sophie Lemoine', 'Florence Combes', 'Nicolas Servant', 'Stéphane Le Crom']","[918596, 13760]",['stephane-le-crom'],Goulphar: rapid access and expertise for standard two-color microarray normalization methods,hal-03842496,2006,10.1186/1471-2105-7-467,,"['Abstract Background Raw data normalization is a critical step in microarray data analysis because it directly affects data interpretation. Most of the normalization methods currently used are included in the R/BioConductor packages but it is often difficult to identify the most appropriate method. Furthermore, the use of R commands for functions and graphics can introduce mistakes that are difficult to trace. We present here a script written in R that provides a flexible means of access to and monitoring of data normalization for two-color microarrays. This script combines the power of BioConductor and R analysis functions and reduces the amount of R programming required. Results Goulphar was developed in and runs using the R language and environment. It combines and extends functions found in BioConductor packages (limma and marray) to correct for dye biases and spatial artifacts. Goulphar provides a wide range of optional and customizable filters for excluding incorrect signals during the pre-processing step. It displays informative output plots, enabling the user to monitor the normalization process, and helps adapt the normalization method appropriately to the data. All these analyses and graphical outputs are presented in a single PDF report. Conclusion Goulphar provides simple, rapid access to the power of the R/BioConductor statistical analysis packages, with precise control and visualization of the results obtained. Complete documentation, examples and online forms for setting script parameters are available from http://transcriptome.ens.fr/goulphar/ .']",https://hal.science/hal-03842496,"['0.sdv', '1.sdv.bbm', '2.sdv.bbm.gtp']"
